vehicle_type,hour,avg_speed_mph,median_speed_mph
green,0,14.64,13.07
green,1,14.92,13.33
green,2,15.36,13.7
green,3,16.24,14.24
green,4,17.52,15.13
green,5,18.62,16.67
green,6,16.16,14.47
green,7,13.07,11.5
green,8,11.85,10.46
green,9,12.25,10.84
green,10,12.21,10.82
green,11,12.01,10.62
green,12,11.82,10.49
green,13,11.55,10.33
green,14,10.94,9.89
green,15,10.53,9.62
green,16,10.48,9.6
green,17,10.53,9.7
green,18,11.12,10.26
green,19,12.0,11.02
green,20,12.85,11.59
green,21,13.5,12.13
green,22,14.06,12.62
green,23,14.45,12.92
yellow,0,15.17,13.26
yellow,1,15.31,13.81
yellow,2,15.57,14.24
yellow,3,16.52,15.09
yellow,4,18.9,16.81
yellow,5,19.92,17.47
yellow,6,16.44,14.71
yellow,7,13.13,11.65
yellow,8,11.09,9.58
yellow,9,10.76,9.3
yellow,10,10.71,9.26
yellow,11,10.28,8.93
yellow,12,10.22,8.89
yellow,13,10.29,8.94
yellow,14,10.04,8.79
yellow,15,9.87,8.74
yellow,16,10.02,9.01
yellow,17,9.99,9.0
yellow,18,10.33,9.25
yellow,19,11.31,9.98
yellow,20,12.4,10.87
yellow,21,13.08,11.47
yellow,22,13.51,11.87
yellow,23,14.41,12.57
