PU_zone,DO_zone,trip_count
Upper East Side South,Upper East Side North,4717887
Upper East Side North,Upper East Side South,4046873
Upper East Side North,Upper East Side North,3623159
Upper East Side South,Upper East Side South,3512014
Upper West Side South,Upper West Side North,2123039
Upper East Side South,Midtown Center,2110988
Upper West Side South,Lincoln Square East,2108062
Upper East Side South,Midtown East,2021694
Lincoln Square East,Upper West Side South,2006609
Midtown Center,Upper East Side South,1996552
Upper West Side North,Upper West Side South,1853795
Lenox Hill West,Upper East Side North,1823449
Penn Station/Madison Sq West,Midtown Center,1736380
Penn Station/Madison Sq West,Times Sq/Theatre District,1736019
JFK Airport,Outside of NYC,1727508
Times Sq/Theatre District,Penn Station/Madison Sq West,1636381
Clinton East,East Chelsea,1629588
Gramercy,Murray Hill,1620336
Upper East Side South,Lenox Hill West,1613073
Midtown Center,Upper East Side North,1602286
Union Sq,Murray Hill,1598974
Lenox Hill West,Upper East Side South,1571537
Clinton East,Clinton East,1568861
Astoria,Astoria,1549221
Yorkville West,Upper East Side North,1539810
Upper East Side North,Lenox Hill West,1535310
Upper East Side North,Midtown Center,1527276
East Village,East Village,1525218
Lincoln Square East,Upper West Side North,1513841
Upper East Side North,Upper West Side South,1479168
Midtown Center,Union Sq,1475164
Yorkville West,Lenox Hill West,1473957
Upper West Side South,Upper West Side South,1466733
Midtown Center,Midtown Center,1452710
Midtown Center,Midtown South,1425818
Penn Station/Madison Sq West,Murray Hill,1423774
Upper East Side South,Lincoln Square East,1419659
LaGuardia Airport,Times Sq/Theatre District,1410140
Midtown East,Murray Hill,1408259
Upper East Side North,Midtown East,1402454
Upper West Side South,Upper East Side North,1402002
Midtown East,Upper East Side South,1401363
Upper East Side South,Lenox Hill East,1391536
Lincoln Square East,Upper East Side South,1391318
Murray Hill,Union Sq,1387664
Yorkville East,Upper East Side North,1363629
Upper East Side North,Upper West Side North,1356611
Midtown South,Midtown Center,1345066
East Village,Gramercy,1335083
Murray Hill,Midtown Center,1333072
Upper East Side South,Yorkville West,1332140
Upper West Side North,Lincoln Square East,1330851
East Harlem South,East Harlem North,1315916
Upper East Side North,Yorkville East,1311763
Lincoln Square East,Clinton East,1303662
Midtown Center,Penn Station/Madison Sq West,1293374
Clinton East,Midtown Center,1291408
Penn Station/Madison Sq West,Union Sq,1288411
Upper East Side North,East Harlem South,1286334
Upper East Side North,Yorkville West,1286130
Lenox Hill West,Yorkville West,1283203
Lenox Hill West,Lenox Hill West,1280350
East Chelsea,Clinton East,1263218
Upper West Side North,Upper East Side North,1259019
Midtown North,Midtown Center,1241018
Midtown Center,Murray Hill,1238538
Lenox Hill East,Upper East Side North,1236264
Union Sq,Midtown Center,1227846
Midtown Center,Times Sq/Theatre District,1223064
Garment District,Midtown Center,1220588
Upper East Side North,Lincoln Square East,1215992
East Chelsea,East Chelsea,1212790
Lenox Hill East,Upper East Side South,1198325
Union Sq,East Chelsea,1194672
Lincoln Square East,Upper East Side North,1194039
Murray Hill,Gramercy,1187462
Midtown Center,Midtown North,1177002
Midtown East,Upper East Side North,1176657
Midtown North,Upper East Side South,1175857
Times Sq/Theatre District,Midtown Center,1174589
Lincoln Square East,Midtown North,1174587
Union Sq,East Village,1173281
Lincoln Square East,Midtown Center,1169816
Clinton East,Lincoln Square East,1169601
Lincoln Square East,Lincoln Square East,1169270
Jackson Heights,Jackson Heights,1151321
East Village,Murray Hill,1150704
Gramercy,East Village,1147437
East Harlem North,East Harlem South,1142734
JFK Airport,Times Sq/Theatre District,1126466
Midtown East,Lenox Hill West,1124307
Clinton East,Times Sq/Theatre District,1121650
Union Sq,Penn Station/Madison Sq West,1119351
Clinton East,West Chelsea/Hudson Yards,1112248
Upper West Side South,Lincoln Square West,1111681
Midtown North,Upper East Side North,1111338
Murray Hill,Penn Station/Madison Sq West,1107115
Outside of NYC,Outside of NYC,1106197
Penn Station/Madison Sq West,Clinton East,1103171
Murray Hill,Murray Hill,1099112
