PULocationID,PU_zone,PU_borough,trip_count
237,Upper East Side South,Manhattan,36092901
161,Midtown Center,Manhattan,35960977
264,nan,Unknown,34168133
236,Upper East Side North,Manhattan,32662818
162,Midtown East,Manhattan,30281125
230,Times Sq/Theatre District,Manhattan,29636200
234,Union Sq,Manhattan,29309093
48,Clinton East,Manhattan,29153895
186,Penn Station/Madison Sq West,Manhattan,29107210
170,Murray Hill,Manhattan,28747040
79,East Village,Manhattan,28436831
132,JFK Airport,Queens,28284599
142,Lincoln Square East,Manhattan,26232568
138,LaGuardia Airport,Queens,25594893
163,Midtown North,Manhattan,24162107
68,East Chelsea,Manhattan,23530797
239,Upper West Side South,Manhattan,23079140
164,Midtown South,Manhattan,22690305
107,Gramercy,Manhattan,22515011
141,Lenox Hill West,Manhattan,21400621
249,West Village,Manhattan,20286508
231,TriBeCa/Civic Center,Manhattan,18029523
229,Sutton Place/Turtle Bay North,Manhattan,17936543
238,Upper West Side North,Manhattan,17699344
100,Garment District,Manhattan,17558176
90,Flatiron,Manhattan,17308051
263,Yorkville West,Manhattan,16940752
140,Lenox Hill East,Manhattan,16903850
246,West Chelsea/Hudson Yards,Manhattan,16087763
113,Greenwich Village North,Manhattan,15237910
148,Lower East Side,Manhattan,14974345
114,Greenwich Village South,Manhattan,13556463
43,Central Park,Manhattan,13386003
233,UN/Turtle Bay South,Manhattan,13053948
137,Kips Bay,Manhattan,12615898
144,Little Italy/NoLiTa,Manhattan,11801115
262,Yorkville East,Manhattan,11612485
75,East Harlem South,Manhattan,11294771
158,Meatpacking/West Village West,Manhattan,11153097
143,Lincoln Square West,Manhattan,10859587
74,East Harlem North,Manhattan,9521847
50,Clinton West,Manhattan,9251796
211,SoHo,Manhattan,8809757
13,Battery Park City,Manhattan,8646595
41,Central Harlem,Manhattan,8636029
166,Morningside Heights,Manhattan,8426066
87,Financial District North,Manhattan,8309190
151,Manhattan Valley,Manhattan,8181046
7,Astoria,Queens,7815817
255,Williamsburg (North Side),Brooklyn,7273668
